ARG	ID	RESULTNAME	INFO	EINHEIT	LABEL	L/H	DATENTYP	NAME	MUL	DIV	ADD
ITANS	0x4200	STAT_ANSAUGLUFTTEMPERATUR_1_WERT	Ansauglufttemperatur 1	Grad C	tans	-	unsigned char	-	0,75	1	-48,0
IPUMG	0x4201	STAT_UMGEBUNGSDRUCK_WERT	Umgebungsdruck	hPa	pu_w	-	unsigned integer	-	0,0390625	1	0,0
IPSAU	0x4202	STAT_SAUGROHRDRUCK_WERT	Saugrohrdruck	hPa	ps_w	-	unsigned integer	-	0,0390625	1	0,0
ILMKG	0x4203	STAT_MASSENSTROM_VOM_HFM_WERT	Massenstrom vom HFM	kg/h	mshfm_w	-	unsigned integer	-	0,10000000149011612	1	0,0
ITUMG	0x4204	STAT_UMGEBUNGSTEMPERATUR_WERT	Umgebungstemperatur	Grad C	tumg	-	unsigned char	-	0,75	1	-48,0
IPLAD	0x4205	STAT_SAUGROHRDRUCK_1_LADEDRUCK_1_WERT	Saugrohrdruck 1 Ladedruck 1	hPa	pvd_w	-	unsigned integer	-	0,078125	1	0,0
ITKUM	0x4300	STAT_KUEHLWASSERTEMPERATUR_WERT	Kühlwassertemperatur	Grad C	tmot	-	unsigned char	-	0,75	1	-48,0
ITOEL	0x4402	STAT_OELTEMPERATUR_WERT	Öltemperatur	Grad C	toel	-	unsigned char	-	1,0	1	-60,0
IKVLS	0x4403	STAT_KRAFTSTOFFVERBRAUCH_SEIT_LETZTEM_SERVICE_WERT	Kraftstoffverbrauch seit letztem Service	-	ozkvbsm_ul	-	unsigned long	-	1,220703125E-4	1	0,0
STAT_0x440B_WERT	0x440B	STAT_LAENDERFAKTOR_1_CODIERT_WERT	Länderfaktor 1 codiert	-	ozlf1c_eep	-	unsigned char	-	0,009999999776482582	1	0,0
STAT_0x440C_WERT	0x440C	STAT_LAENDERFAKTOR_2_CODIERT_WERT	Länderfaktor 2 codiert	-	ozlf2c_eep	-	unsigned char	-	0,009999999776482582	1	0,0
STAT_0x440D_WERT	0x440D	STAT_LAENDERFAKTOR_1_WERT	Länderfaktor 1	-	ozlf1t	-	unsigned char	-	0,009999999776482582	1	0,0
STAT_0x440E_WERT	0x440E	STAT_LAENDERFAKTOR_2_WERT	Länderfaktor 2	-	ozlf2t	-	unsigned char	-	0,009999999776482582	1	0,0
SSPEI	0x4505	STAT_SOLLWERT_EINLASSSPREIZUNG_WERT	Sollwert Einlassspreizung	Grad KW	wnwsaeb_w	-	signed integer	-	0,0078125	1	0,0
IPNWE	0x4506	STAT_NOCKENWELLENPOSITION_EINLASS_WERT	Nockenwellenposition Einlass	Grad KW	wnwkwe_w	-	unsigned integer	-	0,10000000149011612	1	0,0
IPNWA	0x4507	STAT_NOCKENWELLENPOSITION_AUSLASS_WERT	Nockenwellenposition Auslass	Grad KW	wnwkwa_w	-	unsigned integer	-	0,10000000149011612	1	0,0
ISNWE	0x4508	STAT_ISTWERT_EINLASSSPREIZUNG_WERT	Istwert Einlassspreizung	Grad KW	wnwe_w	-	signed integer	-	0,0078125	1	0,0
ISNWA	0x4509	STAT_ISTWERT_AUSLASSSPREIZUNG_WERT	Istwert Auslassspreizung	Grad KW	wnwa_w	-	signed integer	-	0,0078125	1	0,0
STAT_0x450C_WERT	0x450C	STAT_ADAPTION_KURBEL_EINLASSNOCKENWELLE_ERFOLGT_WERT	Adaption Kurbel Einlassnockenwelle erfolgt	-	B_phade	-	unsigned char	-	1	1	0
STAT_0x450D_WERT	0x450D	STAT_ADAPTION_KURBEL_AUSLASSNOCKENWELLE_ERFOLGT_WERT	Adaption Kurbel Auslassnockenwelle erfolgt	-	B_phada	-	unsigned char	-	1	1	0
STAT_0x450E_WERT	0x450E	STAT_NULLGANGVERSCHIEBUNG_FUER_WINKELVERSATZ_DIAGNOSE_BYTE_0_WERT	Nullpunktverschiebung in Grad KW für die Winkelversatz Diagnose	deg CrS	EpmCaS_phiDiffAvrgLim	-	signed integer	-	0,02197265625	1	0,0
STAT_0x450F_WERT	0x450F	STAT_NULLGANGVERSCHIEBUNG_FUER_WINKELVERSATZ_DIAGNOSE_BYTE_1_WERT	Nullpunktverschiebung in Grad KW für die Winkelversatz Diagnose	deg CrS	EpmCaS_phiDiffAvrgLim	-	signed integer	-	0,02197265625	1	0,0
STAT_0x4510_WERT	0x4510	STAT_BEDINGUNG_VVT_LAGEREGLERUEBERWACHUNG_WERT	Bedingung VVT-Lagereglerueberwachung hat bleibende Regelabweichung erkannt	-	B_dvvtregelabweichung	-	unsigned char	-	1	1	0
STAT_0x4511_WERT	0x4511	STAT_BEDINGUNG_VVT_LAGEREGLER_SCHWINGT_WERT	Bedingung VVT-Lageregler schwingt	-	B_dvvtschwingung	-	unsigned char	-	1	1	0
STAT_0x4512_WERT	0x4512	STAT_BEDINGUNG_VVT_UEBERLASTUNG_WERT	Bedingung VVT-Überlastung	-	B_vvttempovl_wrn	-	unsigned char	-	1	1	0
STAT_0x4513_WERT	0x4513	STAT_BEDINGUNG_VVT_UEBERLASTUNG_DURCH_KLEMMENDEN_STELLER_WERT	Bedingung VVT-Überlastung (klemmender Steller)	-	B_vvttempovl	-	unsigned char	-	1	1	0
STAT_0x4514_WERT	0x4514	STAT_BEDINGUNG_VVT_ADAPTION_MOEGLICH_WERT	Bedingung VVT-Adaption möglich	-	B_enadpvvt	-	unsigned char	-	1	1	0
STAT_0x4515_WERT	0x4515	STAT_ANFORDERUNG_VVT_ANSCHLAGLERNEN_INTERN_WERT	Anforderung VVT-Anschlaglernen (intern)	-	vvtlrnaf	-	unsigned char	-	1,0	1	0,0
STAT_0x4516_WERT	0x4516	STAT_STATUS_VVT_ANSCHLAGLERNEN_INTERN_WERT	Status VVT-Anschlaglernen (intern)	-	vvtlrnst	-	unsigned char	-	1,0	1	0,0
STAT_0x4517_WERT	0x4517	STAT_ADAPTIERTE_FLANKENPOSITION_ERSTE_AUSLASSNOCKENWELLE_WERT	Array mit adaptierten Flankenpositionen der ersten Auslaßnockenwelle	deg CrS	EpmCaS_phiAdapRefPosO1_mp	-	signed integer	-	0,02197265625	1	0,0
STAT_0x4518_WERT	0x4518	STAT_ADAPTIERTE_FLANKENPOSITION_ERSTE_AUSLASSNOCKENWELLE_WERT	Array mit adaptierten Flankenpositionen der ersten Auslaßnockenwelle	deg CrS	EpmCaS_phiAdapRefPosO1_mp	-	signed integer	-	0,02197265625	1	0,0
STAT_0x4519_WERT	0x4519	STAT_ADAPTIERTE_FLANKENPOSITION_ERSTE_AUSLASSNOCKENWELLE_WERT	Array mit adaptierten Flankenpositionen der ersten Auslaßnockenwelle	deg CrS	EpmCaS_phiAdapRefPosO1_mp	-	signed integer	-	0,02197265625	1	0,0
STAT_0x451A_WERT	0x451A	STAT_ADAPTIERTE_FLANKENPOSITION_ERSTE_AUSLASSNOCKENWELLE_WERT	Array mit adaptierten Flankenpositionen der ersten Auslaßnockenwelle	deg CrS	EpmCaS_phiAdapRefPosO1_mp	-	signed integer	-	0,02197265625	1	0,0
STAT_0x451B_WERT	0x451B	STAT_ADAPTIERTE_FLANKENPOSITION_ERSTE_AUSLASSNOCKENWELLE_WERT	Array mit adaptierten Flankenpositionen der ersten Auslaßnockenwelle	deg CrS	EpmCaS_phiAdapRefPosO1_mp	-	signed integer	-	0,02197265625	1	0,0
STAT_0x451C_WERT	0x451C	STAT_ADAPTIERTE_FLANKENPOSITION_ERSTE_AUSLASSNOCKENWELLE_WERT	Array mit adaptierten Flankenpositionen der ersten Auslaßnockenwelle	deg CrS	EpmCaS_phiAdapRefPosO1_mp	-	signed integer	-	0,02197265625	1	0,0
STAT_0x451D_WERT	0x451D	STAT_VERSTELLZEIT_VVT_BEI_TESTERANSTEUERUNG_WERT	Verstellzeit VVT bei Testeransteuerung 	-	vvtdtperf_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x451E_WERT	0x451E	STAT_SUMMENSTROM_VVT_BEI_TESTERANSTEUERUNG_WERT	Summenstrom VVT bei Testeransteuerung 	A	ivvtsumperf_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x4520_WERT	0x4520	STAT_GEMITTELTER_VERDREHWINKEL_DER_NOCKENWELLE_BYTE_0_WERT	Gemittelter Verdrehwinkel der Nockenwelle	deg CrS	EpmCaS_phiCaSOfsAvg	-	signed long	-	0,02197265625	1	0,0
STAT_0x4521_WERT	0x4521	STAT_GEMITTELTER_VERDREHWINKEL_DER_NOCKENWELLE_BYTE_1_WERT	Gemittelter Verdrehwinkel der Nockenwelle	deg CrS	EpmCaS_phiCaSOfsAvg	-	signed long	-	0,02197265625	1	0,0
STAT_0x4523_WERT	0x4523	STAT_ARRAY_ADAPTIERTE_FLANKENPOSITIONEN_DER_ERSTEN_EINLASSNOCKENWELLE_BYTE_1_WERT	Array mit adaptierten Flankenpositionen der ersten Einlassnockenwelle	deg CrS	EpmCaS_phiAdapRefPosI1_mp	-	signed integer	-	0,02197265625	1	0,0
STAT_0x4524_WERT	0x4524	STAT_ARRAY_ADAPTIERTE_FLANKENPOSITIONEN_DER_ERSTEN_EINLASSNOCKENWELLE_BYTE_2_WERT	Array mit adaptierten Flankenpositionen der ersten Einlassnockenwelle	deg CrS	EpmCaS_phiAdapRefPosI1_mp	-	signed integer	-	0,02197265625	1	0,0
STAT_0x4525_WERT	0x4525	STAT_ARRAY_ADAPTIERTE_FLANKENPOSITIONEN_DER_ERSTEN_EINLASSNOCKENWELLE_BYTE_3_WERT	Array mit adaptierten Flankenpositionen der ersten Einlassnockenwelle	deg CrS	EpmCaS_phiAdapRefPosI1_mp	-	signed integer	-	0,02197265625	1	0,0
STAT_0x4526_WERT	0x4526	STAT_ARRAY_ADAPTIERTE_FLANKENPOSITIONEN_DER_ERSTEN_EINLASSNOCKENWELLE_BYTE_4_WERT	Array mit adaptierten Flankenpositionen der ersten Einlassnockenwelle	deg CrS	EpmCaS_phiAdapRefPosI1_mp	-	signed integer	-	0,02197265625	1	0,0
STAT_0x4527_WERT	0x4527	STAT_ARRAY_ADAPTIERTE_FLANKENPOSITIONEN_DER_ERSTEN_EINLASSNOCKENWELLE_BYTE_5_WERT	Array mit adaptierten Flankenpositionen der ersten Einlassnockenwelle	deg CrS	EpmCaS_phiAdapRefPosI1_mp	-	signed integer	-	0,02197265625	1	0,0
IWDKL	0x4600	STAT_AKTUELLER_DROSSELKLAPPENWINKEL_WERT	aktueller Drosselklappenwinkel	%DK	wdkba_w	-	signed integer	-	0,0244140625	1	0,0
SWDKL	0x4601	STAT_DROSSELKLAPPE_SOLLWERT_WERT	Drosselklappe Sollwert	%	wdks_w	-	unsigned integer	-	0,00152587890625	1	0,0
SUGEB	0x4602	STAT_GENERATOR_SOLLSPANNUNG_UEBER_BSD_WERT	Generator Sollspannung über BSD	V	ugen	-	unsigned char	-	0,10000000149011612	1	10,6
ITGEE	0x4603	STAT_CHIPTEMPERATUR_GENERATOR_1_WERT	Chiptemperatur Generator 1	Grad C	tchip	-	unsigned char	-	1,0	1	-40,0
IIGEN	0x4604	STAT_GENERATOR_STROM_WERT	Generator Strom	-	st_i_gen	-	unsigned char	-	1,0	1	0,0
VGENE	0x4605	STAT_CHIPVERSION_GENERATOR_1_WERT	Chipversion Generator 1	-	bsdgencv	-	unsigned char	-	1,0	1	0,0
VGENR	0x4606	STAT_REGLERVERSION_GENERATOR_1_WERT	Reglerversion Generator 1	-	bsdgenregv	-	unsigned char	-	1,0	1	0,0
VGENH	0x4607	STAT_HERSTELLERCODE_GENERATOR_1_WERT	Herstellercode Generator 1	-	genmanufak	-	unsigned char	-	1,0	1	0,0
VGTYP	0x4608	STAT_KENNUNG_GENERATORT_P_GENERATOR_1_WERT	Kennung Generatortyp Generator 1	-	gentypkenn	-	unsigned char	-	1,0	1	0,0
IUK87	0x4609	STAT_KLEMME_87_SPANNUNGSVERSORGUNG_DME_WERT	Kl.87 Spannung  Versorgung DME	V	ub	-	unsigned char	-	0,094200000166893	1	0,0
IUBAT	0x460A	STAT_BATTERIESPANNUNG_AKTUELL_WERT	Batteriespannung aktuell	V	ubt	-	unsigned integer	-	0,014999999664723873	1	0,0
IUIBS	0x460B	STAT_BATTERIESPANNUNG_VON_IBS_GEMESSEN_WERT	Batteriespannung von IBS gemessen	V	ubatt_w	-	unsigned integer	-	2,500000118743628E-4	1	6,0
IUADW	0x460C	STAT_BATTERIESPANNUNG_VOM_AD_WANDLER_DME_WERT	Batteriespannung vom AD-Wandler DME	V	wub_w	-	unsigned integer	-	0,02355000004172325	1	0,0
STAT_0x460D_WERT	0x460D	STAT_KORREKTURWERT_ABSCHALTUNG_WERT	Korrekturwert Abschaltung	%	abschkor_w	-	unsigned integer	-	0,004000000189989805	1	-100,0
STAT_0x460E_WERT	0x460E	STAT_ABSTAND_ZUR_STARTFAEHIGKEITSGRENZE_WERT	Abstand zur Startfähigkeitsgrenze	%	dsoc_w	-	unsigned integer	-	0,004000000189989805	1	-100,0
ILBAT	0x460F	STAT_BATTERIELAST_WERT	Batterielast	%	dfmonitor	-	unsigned char	-	0,390625	1	0,0
STELU	0x4611	STAT_SOLLWERT_E_LUEFTER_ALS_PWM_WERT	Sollwert E-Lüfter als PWM Wert	%	taml	-	unsigned char	-	0,390625	1	0,0
IIEGE	0x4612	STAT_ERREGERSTROM_GENERATOR_1_WERT	Erregerstrom Generator 1	A	ierr	-	unsigned char	-	0,125	1	0,0
STAT_0x4613_WERT	0x4613	STAT_VOM_GENERATOR_EMPFANGENE_SOLLSPANNUNG_WERT	Empfangene Sollspannung Generator 1	V	ufgen	-	unsigned char	-	0,10000000149011612	1	10,6
IGENA	0x4614	STAT_AUSLASTUNGSGRAD_GENERATOR_1_WERT	Auslastungsgrad Generator 1	%	dfsiggen	-	unsigned char	-	0,390625	1	0,0
STAT_0x4615_WERT	0x4615	STAT_KOPIE_BEGRENZTER_ERREGERSTROM_GENERATOR_1_WERT	Kopie begrenzter Erregerstrom Generator 1	A	ierrfgrenz	-	unsigned char	-	0,125	1	0,0
