Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5852032,000006F1,false,Tx,0,8,40,02,1A,80,00,00,00,00,
5862051,00000640,false,Tx,0,8,F1,10,3C,5A,80,00,00,09,
5867052,000006F1,false,Tx,0,8,40,30,00,00,00,00,00,00,
5872171,00000640,false,Tx,0,8,F1,21,38,91,15,C4,09,06,
5877081,00000640,false,Tx,0,8,F1,22,A0,53,41,20,15,06,
5882101,00000640,false,Tx,0,8,F1,23,02,04,00,00,00,02,
5887115,00000640,false,Tx,0,8,F1,24,08,00,03,03,00,00,
5892113,00000640,false,Tx,0,8,F1,25,00,00,00,00,06,94,
5896615,00000640,false,Tx,0,8,F1,26,38,05,30,31,39,30,
5901612,00000640,false,Tx,0,8,F1,27,30,30,34,32,4E,36,
5906644,00000640,false,Tx,0,8,F1,28,42,30,30,34,32,4E,
5911647,00000640,false,Tx,0,8,F1,29,36,42,46,32,32,38,
5916649,00000640,false,Tx,0,8,F1,2A,53,FF,FF,FF,FF,FF,
5926708,000006F1,false,Tx,0,8,40,03,22,10,10,00,00,00,
5931679,00000640,false,Tx,0,8,F1,10,14,62,10,10,57,4D,
5936694,000006F1,false,Tx,0,8,40,30,00,00,00,00,00,00,
5941699,00000640,false,Tx,0,8,F1,21,57,53,55,39,31,30,
5946705,00000640,false,Tx,0,8,F1,22,36,30,54,37,31,37,
5951740,00000640,false,Tx,0,8,F1,23,34,32,30,FF,FF,FF,
5961751,000006F1,false,Tx,0,8,40,03,30,01,01,00,00,00,
